text,title,source,cluster_label,pca_dim_1,pca_dim_2
Bruce Springsteen lent helping hand to director s family after Los Angeles wildfires Bruce Springsteen lent helping hand to director s family after Los Angeles wildfires,Bruce Springsteen lent helping hand to director's family after Los Angeles wildfires,The Times of India,-1,-0.17191005,0.03460433
Six protein packed Trader Joe s snacks dietitians recommend Six protein packed Trader Joe s snacks dietitians recommend,Six protein-packed Trader Joe’s snacks dietitians recommend,The-independent.com,-1,0.18929578,-0.06576824
Classic Aero TV Portrait of the U.S. Transportation Safety Institute Classic Aero TV Portrait of the U.S. Transportation Safety Institute,Classic Aero-TV: Portrait of the U.S. Transportation Safety Institute,Aero-news.net,-1,0.21664202,-0.109961115
Aero News Quote of the Day 10.21.25 Aero News Quote of the Day 10.21.25,Aero-News: Quote of the Day (10.21.25),Aero-news.net,-1,0.20114022,-0.13670433
Trump backs off planned surge of federal agents into San Francisco after talking to the mayor Trump backs off planned surge of federal agents into San Francisco after talking to the mayor,Trump backs off planned surge of federal agents into San Francisco after talking to the mayor,Japan Today,-1,-0.003057843,0.3190957
"Xbox Game Pass October Wave 2 is wild The Outer Worlds 2, PowerWash 2, Football Manager 26, and a mech farming sim. Yes, really Xbox Game Pass October Wave 2 is wild The Outer Worlds 2, PowerWash 2, Football Manager 26, and a mech farming sim. Yes, really","Xbox Game Pass October Wave 2 is wild: The Outer Worlds 2, PowerWash 2, Football Manager 26, and a mech farming sim. Yes, really",Windows Central,1,-0.015281773,-0.31125402
I found my people People are sharing how they use Costco Tiramisu cups I found my people People are sharing how they use Costco Tiramisu cups,“I found my people”: People are sharing how they use Costco Tiramisu cups,The Daily Dot,-1,-0.18752629,-0.07319187
How presidents have changed the White House and how Trump s ballroom is different How presidents have changed the White House and how Trump s ballroom is different,How presidents have changed the White House — and how Trump's ballroom is different,NPR,-1,-0.035974618,0.21589102
Manipur marks Ningol Chakkouba amid hope heartbreak for IDPs Manipur marks Ningol Chakkouba amid hope heartbreak for IDPs,Manipur marks Ningol Chakkouba amid hope & heartbreak for IDPs,The Times of India,2,-0.30898938,-0.10386542
U.S. Senate hopeful Graham Platner says he s covered up his tattoo after learning it was a Nazi symbol I wanted this thing off my body U.S. Senate hopeful Graham Platner says he s covered up his tattoo after learning it was a Nazi symbol I wanted this thing off my body,U.S. Senate hopeful Graham Platner says he’s covered up his tattoo after learning it was a Nazi symbol: ‘I wanted this thing off my body’,Fortune,3,-0.06291866,0.31133705
Person matching Chauncey Billups description allegedly shared Trail Blazers tanking information with bettors Person matching Chauncey Billups description allegedly shared Trail Blazers tanking information with bettors,Person matching Chauncey Billups' description allegedly shared Trail Blazers tanking information with bettors,CBS Sports,3,-0.19915923,0.13275252
AI grading error affects hundreds of MCAS essays in Massachusetts Here s what went wrong AI grading error affects hundreds of MCAS essays in Massachusetts Here s what went wrong,AI grading error affects hundreds of MCAS essays in Massachusetts: Here’s what went wrong,The Times of India,-1,-0.17399955,-0.050349306
"J K Speaker rejects Congress, NC s plea for discussion on AAP MLA s detention HC quashes aide s preventive custody J K Speaker rejects Congress, NC s plea for discussion on AAP MLA s detention HC quashes aide s preventive custody","J&K Speaker rejects Congress, NC’s plea for discussion on AAP MLA’s detention; HC quashes aide’s preventive custody",The Times of India,2,-0.22213711,0.048167713
The Woman Who Rewrote Her Ribcage Wisconsin Tiff s Radical Quest for the Impossible Waist! The Woman Who Rewrote Her Ribcage Wisconsin Tiff s Radical Quest for the Impossible Waist!,The Woman Who Rewrote Her Ribcage: Wisconsin Tiff’s Radical Quest for the Impossible Waist!,Egotastic.com,-1,-0.0935542,0.14695323
Netflix s Daily Soap Experiment Ends Prematurely Tout Pour La Lumière Canceled After Single Season Netflix s Daily Soap Experiment Ends Prematurely Tout Pour La Lumière Canceled After Single Season,Netflix’s Daily Soap Experiment Ends Prematurely; ‘Tout Pour La Lumière’ Canceled After Single Season,What's on Netflix,-1,-0.03839332,-0.02728461
White House East Wing demolition nearly complete to make room for Trump ballroom White House East Wing demolition nearly complete to make room for Trump ballroom,White House East Wing demolition nearly complete to make room for Trump ballroom,Biztoc.com,-1,0.009740283,0.25430277
Who s to blame for government shutdown? A new poll shows what voters think. Who s to blame for government shutdown? A new poll shows what voters think.,Who's to blame for government shutdown? A new poll shows what voters think.,CBS News,-1,-0.077257484,0.14930707
Protest of Bay Area immigration crackdown met with apparent stun grenades at Coast Guard base San Francisco Chronicle Protest of Bay Area immigration crackdown met with apparent stun grenades at Coast Guard base San Francisco Chronicle,Protest of Bay Area immigration crackdown met with apparent stun grenades at Coast Guard base (San Francisco Chronicle),Memeorandum.com,-1,0.15688102,0.30343065
Trump Administration Live Updates President Shelves Plan to Deploy Federal Agents to San Francisco New York Times Trump Administration Live Updates President Shelves Plan to Deploy Federal Agents to San Francisco New York Times,Trump Administration Live Updates: President Shelves Plan to Deploy Federal Agents to San Francisco (New York Times),Memeorandum.com,4,0.4221149,0.34769934
The Bloody Sunday Murder Trial The Bloody Sunday Murder Trial,The Bloody Sunday Murder Trial,BBC News,-1,-0.053986546,0.040807422
